12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
13,29,5,46,27,0,12,1.5467703550758918,0.8966035639704768,5,58,-3.192858265724108,8,32,45,3.89217315985225,28,29,17,30,27,11,9,8,3,5,-2.01123096913803,0.3078677749309503,13,33,5,5
4,24,5,39,24,0,17,1.6623451150758917,0.8939140271257026,4,58,-3.276423965824108,6,31,53,4.18420166145225,32,31,15,30,32,9,8,8,4,4,-2.2055916824380297,0.3250512651018717,13,32,3,4
6,20,6,42,26,0,20,1.6623451150758917,0.9074636079344756,5,56,-3.4184570753241084,3,37,53,4.18420166145225,33,29,16,26,26,11,8,9,4,4,-2.2055916824380297,0.3485811685329266,13,19,1,4
13,36,8,48,26,0,5,1.5452890451758916,0.9369114420546282,5,57,-3.4184570753241084,6,50,57,3.8818073763522505,22,24,19,26,33,2,10,14,6,5,-2.07284215363803,0.3414808541264241,9,21,4,5
16,49,3,34,32,0,1,1.4237668600758917,0.8647065669985113,4,64,-2.9860107337241084,10,56,52,3.6907157615522506,13,29,20,32,19,3,8,8,2,3,-1.96522733343803,0.2528027313449836,11,27,2,3
11,28,8,2,36,0,8,2.386505863975892,0.7176303103355562,3,46,-2.1686439030241083,7,39,11,3.2691358374522506,17,35,16,36,29,1,3,6,5,4,-2.14848472253803,0.2276959169514539,60,53,6,5
15,27,4,4,30,0,4,2.500680794075892,0.793101477601081,6,64,-2.7703227681241085,7,42,15,3.2702459947522504,19,37,9,36,31,3,10,10,6,5,-2.14848472253803,0.3398415010808893,30,59,3,6
11,37,6,8,26,0,3,2.500680794075892,0.869602375165554,6,58,-3.331406027724108,6,48,32,3.5887505551522505,23,32,10,28,29,3,12,10,9,3,-1.99037487613803,0.341165688204447,26,37,3,9
15,55,2,1,26,0,0,2.962349383575892,0.9485602050241028,7,56,-3.331406027724108,6,48,14,3.7185511902522506,2,27,14,24,27,3,12,10,8,1,-2.09605932213803,0.3378026923263448,36,40,1,4
18,32,1,1,24,0,3,2.962349383575892,0.8636633884002377,7,63,-3.2308182500241083,3,47,12,3.7185511902522506,4,34,30,32,30,3,10,4,4,1,-2.45139820253803,0.3889384552494547,47,57,0,3
19,27,1,19,22,0,6,1.6319950032758916,0.7932854253722258,5,61,-2.526563253124108,3,34,37,3.5088122440522502,16,37,14,36,32,2,7,7,6,1,-2.45139820253803,0.4129532753433825,21,39,3,2
15,27,3,27,26,0,3,1.6319950032758916,0.8416449963255925,3,60,-2.526563253124108,4,53,34,3.9728763334522506,16,33,12,36,28,2,8,6,5,2,-2.38770122983803,0.3538827507771759,29,30,1,4
9,11,2,33,30,0,22,1.5863862023758917,0.8987764971899893,5,66,-3.0586075623241085,4,21,41,4.206236766752251,23,29,15,38,41,16,8,8,4,3,-2.18324335113803,0.2969107722354781,22,27,5,2
7,10,1,23,28,0,26,2.230139569475892,0.8651779536250476,3,65,-3.0586075623241085,5,19,30,4.206236766752251,29,28,19,33,48,18,5,8,8,2,-2.19395505343803,0.3147963270483813,31,34,8,1
8,26,7,12,24,0,3,2.230139569475892,0.7836369117813874,5,47,-3.002662492024108,8,45,35,3.35264668075225,18,28,3,26,42,6,7,14,7,7,-2.19395505343803,0.3373225699796933,27,38,7,6
11,14,1,6,26,0,11,2.218466656475892,0.8482772331512569,4,63,-3.126149500524108,5,38,44,3.6462842547522505,28,28,8,26,45,6,3,10,2,4,-2.7591296605380298,0.3769798289847474,24,33,7,3
8,22,2,4,28,0,6,2.243645493075892,0.8815696514764546,6,59,-3.126149500524108,5,34,34,3.6462842547522505,16,28,19,34,50,3,6,10,2,4,-2.7591296605380298,0.3464034404298984,24,42,5,2
13,48,6,2,30,0,4,2.243645493075892,0.8088692240059304,5,47,-2.819121187424108,5,66,26,3.22539142795225,4,30,13,36,6,2,10,10,5,7,-2.38298525513803,0.3441074970549575,31,53,4,8
12,40,4,10,28,0,1,2.085796768775892,0.7228369756630629,2,39,-2.6430276451241084,7,69,25,3.1292609659522506,3,33,8,28,18,2,8,7,6,4,-2.4846798463380297,0.3581176187231903,30,52,4,5
5,30,2,3,26,0,9,2.5340518903758915,0.7964700780734638,5,63,-2.6430276451241084,10,50,13,3.6128921866522505,19,36,12,28,31,5,3,6,3,5,-2.4846798463380297,0.316890459716565,40,62,4,1
