36,18,y_signal_changes,34,20,4,17,37,y_rms,23,15,33,16,21,x_signal_changes,30,z_std,24,9,8,5,14,22,26,7,39,x_rms,x_max,z_rms,32,x_min,3
9,12,32,26,2,22,14,7,1.3358743721327733,24,55,28,30,6,39,19,3.54786123585657,48,10,27,21,65,26,17,39,4,3.4605973727770545,5.161625532875892,6.293674861241112,33,-8.035004417324108,23
10,4,30,19,13,26,8,4,1.104638333684366,51,21,33,17,20,34,23,2.9831689771070256,43,6,8,43,39,23,19,38,1,3.0855971711060364,5.537787946275892,4.45581426325319,39,-7.0193648734241085,27
14,7,30,34,3,29,11,11,1.1263780253872615,20,27,31,21,8,29,15,2.597105718101222,50,7,4,35,52,24,16,41,9,3.016484187693832,5.537787946275892,3.372977144585763,35,-7.0557761177241085,28
13,7,30,23,2,28,14,9,1.0810550282985063,16,15,26,19,9,35,24,2.5905102464806093,44,7,14,28,49,25,21,49,2,3.2603351598763823,5.223183401875891,3.358892220965779,46,-8.17180151822411,9
12,15,32,21,6,28,29,7,1.0461230144743103,21,41,31,32,20,34,20,2.358974969225742,48,5,19,32,43,17,23,42,2,2.9782616921255207,5.223183401875891,2.782609819463009,43,-8.17180151822411,7
8,22,37,28,2,20,37,9,1.197389390783697,23,45,47,42,3,26,16,2.638671886883795,40,8,21,33,25,29,27,41,5,2.6112035138383307,4.735074629375892,3.4882284398351757,32,-7.439237493724108,19
12,16,31,28,5,21,32,9,1.568058159203317,28,46,41,26,5,29,14,3.2478230338299072,41,8,10,36,46,24,23,32,4,2.762594853628181,5.251998673475891,5.274819971973363,38,-6.5938272000241085,33
8,11,29,22,4,37,34,12,1.6712901307697194,23,36,37,16,8,31,17,3.1727531853977915,45,8,9,33,41,21,24,33,5,3.1103487057724624,5.655932737775892,5.033810049754916,40,-7.273969638124108,22
12,15,33,21,3,31,27,10,1.2721999598362563,14,45,34,31,7,28,15,2.8905983417861267,53,5,9,38,27,31,20,28,3,3.226754566016346,6.091296146475892,4.179303397426319,46,-7.273969638124108,27
8,18,33,22,2,33,22,8,1.0243131385491806,16,33,41,30,5,28,7,2.832319319324062,49,4,7,38,38,37,14,28,4,2.992688396766208,6.091296146475892,4.011384393967367,52,-7.334752439424109,25
15,8,32,31,12,31,20,10,0.8043582602369397,41,49,31,29,35,32,10,2.6226725968008155,46,6,7,40,37,13,13,37,5,2.7768691085509607,5.400881095775892,3.441394328096457,49,-7.334752439424109,16
16,11,32,22,2,29,18,9,0.9129891961211608,14,39,33,20,12,31,16,2.776935503766862,44,4,8,38,49,32,18,28,5,2.8835235459530595,5.827916430875892,3.855926351564343,36,-7.029241045024108,28
21,11,35,20,5,29,24,11,1.2094803599100536,9,47,37,32,16,29,15,2.9630309617173967,50,5,11,35,29,25,17,32,6,3.1033165463854657,5.827916430875892,4.390052889460375,31,-7.513627683624108,29
15,6,35,23,5,25,26,9,1.2707227840502129,14,59,35,30,16,30,16,2.757990632321077,58,7,17,41,27,21,23,36,6,3.1161435868490925,5.331888275375892,3.8065075311006895,49,-7.513627683624108,19
14,13,33,34,9,33,24,9,1.0897327558213117,24,58,30,28,33,28,14,2.8070662806104894,60,6,7,29,34,17,7,32,6,3.0518415877214524,5.630269431075892,3.942204830809573,46,-6.930698600624108,24
16,9,35,34,3,37,17,10,0.904394512040024,16,43,25,23,6,27,12,3.207800055634344,45,8,4,23,40,38,8,34,1,3.221289979240735,5.809564755875892,5.145006211179452,41,-7.095012727724108,20
20,6,36,21,4,31,18,10,1.444458650874244,16,68,32,28,8,30,9,3.520417415153208,46,8,14,25,43,24,16,40,6,3.680393272254206,5.809564755875892,6.198532121675589,37,-8.184074608624108,25
14,7,35,20,2,26,12,9,1.5562128590424449,19,62,26,37,9,30,15,3.244239122570166,40,8,17,26,46,21,21,49,4,3.4140257390840203,5.435199383875892,5.264737111674353,38,-8.184074608624108,19
13,6,37,23,5,23,30,8,1.0796078612678537,18,64,36,26,5,28,19,2.776056221682039,27,3,7,39,29,27,25,28,3,3.221760852891336,5.964894156575892,3.853246513227147,36,-7.022416825724108,22
10,7,35,23,4,23,20,14,0.8782204363264523,14,43,32,21,3,28,18,2.8748041390075287,26,4,8,35,52,35,27,31,9,3.490098337622604,5.964894156575892,4.132492245948635,33,-7.216271453424108,25
12,7,34,18,3,27,13,13,0.927595951553072,13,28,28,13,11,27,19,2.87841962876733,43,8,7,31,46,31,20,38,8,3.454225258350775,5.805997930475892,4.142650901595123,30,-7.216271453424108,26
12,8,35,23,6,32,12,9,1.02218088942634,19,40,24,25,23,26,17,2.708752792385434,85,7,6,32,47,21,12,36,1,3.2147268775001288,5.805997930475892,3.668963524371922,37,-7.182136381424108,15
16,9,36,23,3,23,13,7,1.025496914318408,15,37,19,22,16,30,16,2.8992365978927066,57,3,10,35,46,14,19,35,2,3.2768168110024014,5.695652667975891,4.205686456301888,44,-7.4033714383241085,16
21,13,35,28,5,25,22,7,1.079631513902081,12,56,21,44,26,30,19,3.2806987241184022,57,2,17,34,27,14,23,40,2,3.1090481086552693,5.244598002075891,5.386342177592241,36,-7.4033714383241085,15
21,3,34,32,16,25,11,7,1.3524936621746275,20,56,19,19,27,28,28,3.5427039050715528,61,3,19,32,59,13,14,37,7,3.019092684643651,5.244598002075891,6.275807712781193,29,-7.065365435624108,17
17,3,34,30,20,28,13,8,1.836854666014859,23,37,25,5,21,32,17,3.624996680409242,64,1,7,35,54,9,14,29,1,4.105089892027889,7.103750686875892,6.573879251691983,32,-8.417362308724108,26
17,1,31,25,28,23,11,8,1.5588997218660836,57,31,27,10,15,29,18,3.554461869741945,37,3,7,35,47,9,15,30,3,4.756816078504221,7.103750686875892,6.317903396266921,25,-8.483842198024108,26
19,11,27,21,23,22,8,10,1.2488604229281703,37,37,28,32,20,28,15,3.5325117880393355,47,6,7,28,46,16,17,36,3,4.498959395826403,6.451494635775892,6.243918538806107,25,-8.483842198024108,19
21,12,27,23,19,27,19,9,1.259982538296306,26,48,27,36,18,36,13,3.555250753730133,54,6,9,40,44,18,17,37,1,4.48243580024154,6.910492352175892,6.320564111610509,40,-8.97401243602411,20
