z_min,16,3,rv_max,x_std,y_max,7,x_rms,11,6,y_min,1,25,z_std,2,0,z_mean,rv_std,x_signal_changes,29,14,y_rms,8,y_signal_changes,y_std,z_rms,z_max,13,26,31,5,34
-6.04023695984775,9,17,8.062137548071842,1.4941079787272975,5.096312168861971,16,1.1176610479142988,27,37,-2.63305593173803,14,48,2.956275025392449,15,5,-0.0123834689657496,1.5770529908784587,26,10,18,0.819392928352697,4,48,1.2801245974325408,4.369857688031376,8.06018547375225,69,10,34,45,36
-6.04023695984775,16,17,8.062137548071842,1.478658474225364,3.78088672546197,17,1.0932252429371565,18,39,-2.63305593173803,15,48,2.7860427593655297,14,8,0.0613505541222504,1.461500335075108,25,6,43,0.7480210426525395,4,44,1.2225616982323797,3.8828990737521023,8.06018547375225,57,10,33,47,36
-5.78957387364775,13,22,7.803064021159609,1.6527704883086216,3.24311759856197,24,1.3660555623876889,14,35,-2.38007670453803,11,49,2.460635798404344,13,6,-0.0812934116922495,1.3191706464864397,26,4,45,0.6734811970025801,7,42,1.160575657623214,3.0306685755867733,7.71056191225225,48,6,27,47,31
-5.78957387364775,9,27,7.803064021159609,1.7935884679708487,4.33145677606197,30,1.6091944806664142,15,26,-2.60975221483803,13,55,2.483887719135704,13,6,0.0282319029647503,1.4163778491672998,26,7,48,0.6443298063541734,13,42,1.1346196159628184,3.08524762080909,7.71056191225225,73,4,44,37,33
-4.980277825747749,8,30,8.272507902120072,1.7329472260435934,4.387770989761971,33,1.502619869515483,16,24,-2.60975221483803,11,27,2.605163578612574,17,11,0.0734808373332504,1.451700814526268,28,7,39,0.6526529584768348,10,38,1.1424977246425705,3.396138352392334,8.253363250952251,72,5,43,29,40
-4.980277825747749,7,20,8.48702965805098,1.6387869826718289,4.387770989761971,30,1.3431246501764027,16,27,-2.35053548243803,8,25,2.718480208344306,10,6,-0.0860127598577496,1.4591951194066446,28,7,29,0.6370112833562234,31,38,1.1287143285090375,3.698766419009027,8.45878285215225,74,3,52,26,36
-6.024570775947749,6,17,8.48702965805098,1.5747177420191425,4.383215964961971,39,1.2416321397862509,22,29,-2.34285586923803,9,40,2.770615864135366,6,4,-0.0032579184562495,1.493748920668133,26,7,32,0.7077777947397496,32,38,1.18939607377504,3.8381614403156186,8.45878285215225,65,4,54,22,24
-6.024570775947749,6,15,8.107498592854535,1.5412316027801036,4.383215964961971,40,1.1883464310960383,23,35,-2.25796898193803,9,44,2.684028134559087,7,5,0.0640474080957504,1.463213113983993,26,6,27,0.8610901553127128,28,35,1.3116038231977052,3.604054548794254,8.06344170415225,60,7,42,21,32
-5.400341203147749,3,29,8.770612868428506,1.672137645995895,5.1215854403619705,26,1.3983246919455967,36,41,-2.25796898193803,7,19,2.5821304969728183,13,8,-0.0720742968527496,1.457447245883033,25,5,23,0.8496064275056585,17,30,1.302843649413042,3.336296303831956,8.74930602145225,55,3,49,30,22
-5.6977959336477495,3,29,8.770612868428506,1.6867226413859022,5.1215854403619705,28,1.4225173028789704,36,35,-2.0584362713380298,6,25,2.6021493209692745,15,8,0.0139538271897503,1.4955540993559566,25,7,13,0.6985855403201207,21,31,1.181417553726498,3.385687898957052,8.74930602145225,51,3,51,25,25
