x_min,22,rv_signal_changes,y_min,23,y_std,32,28,rv_min,z_std,z_rms,11,15,29,35,3,0,8,y_signal_changes,34,38,39,33,y_max,x_std,2,36,18,x_rms,z_mean,27,7
-5.466233883124108,34,0,-5.009923736438029,35,1.599857980433956,44,5,0.9945604040102916,2.900546778316987,4.209337288386541,2,33,3,28,30,7,17,38,37,5,2,30,3.34896557146197,2.299283227727986,20,7,21,2.6433782797705603,-0.0741819625517496,12,21
-5.466233883124108,48,0,-5.009923736438029,35,1.5812888040391393,42,3,0.4409353593532608,3.17337167210763,5.040772820895788,0,36,4,22,32,7,12,36,38,3,1,43,3.34896557146197,2.342637131748317,27,9,21,2.7461237775525733,0.1061031218032504,14,17
-5.422865652424108,40,0,-4.036904347138029,45,1.5083136105404793,46,4,0.4409353593532608,3.2737448853353084,5.358734316947672,8,23,4,22,29,3,9,35,35,2,2,49,3.0874943149619702,2.286129492518119,31,6,19,2.613692918198887,-0.0079410097752495,11,14
-4.321759644324108,27,0,-4.268802024738029,48,1.6234650254335858,56,6,0.9928318994755982,3.144245350299557,4.946497585130685,6,20,2,17,23,8,6,32,28,1,1,40,3.19993015526197,2.141566395036602,24,6,23,2.293568290412921,-0.0819533244047496,7,12
-4.188835406224109,19,0,-4.268802024738029,51,1.7354691379186618,38,6,0.8126505759889437,2.9450181351924645,4.337181054497019,9,14,4,24,19,8,5,26,33,2,1,47,3.19993015526197,2.0339004331067114,30,10,29,2.06843144044795,0.0350755239667503,10,9
-4.5412524152241085,23,0,-3.61489594153803,47,1.684071725848676,35,6,0.6954887983054227,2.824009473866284,3.987583864945236,18,25,6,26,21,6,5,25,41,5,3,36,2.85314556866197,2.0953766703319507,33,20,27,2.195557106419153,-0.0117567599257496,11,16
-4.5412524152241085,38,0,-3.75943577563803,46,1.6230940634005524,48,5,0.6954887983054227,2.9951327748197247,4.488658906557324,15,23,3,24,20,6,10,25,32,5,1,45,3.10229030986197,2.213605878045242,32,12,21,2.450636709357674,0.0806069123297503,10,18
-4.529472232424109,31,0,-3.75943577563803,51,1.4910557064481305,37,10,0.57474833522127,3.1680590062105365,5.018803941395664,10,26,3,26,20,9,9,27,34,6,2,42,3.10229030986197,2.297539039957286,27,17,15,2.6395281287795043,-0.0317807482547496,7,13
-4.617642328724108,47,0,-2.93040446793803,34,1.4873833737664746,41,4,0.57474833522127,3.3407634098956027,5.580351176607413,18,22,3,19,28,15,3,28,38,1,3,44,2.96809124756197,2.3671516292030645,23,9,16,2.801735889638045,0.0014806476737502,11,8
-4.617642328724108,45,0,-2.93040446793803,38,1.4324460569129471,44,2,0.9387185567974152,3.102025436569099,4.811605727883314,17,21,2,10,34,9,2,26,33,0,3,35,2.96809124756197,2.097764182748588,32,5,17,2.2020320968941305,0.0254881667627504,7,6
-3.979041367724108,22,0,-2.95102556973803,46,1.3925001888977784,42,9,0.9559309107355384,2.7543071342811074,3.7956085759423286,15,22,3,18,28,13,4,25,38,3,3,32,2.98369312256197,2.0301906421047624,27,11,17,2.061513299593174,-0.0707768460222496,10,6
-5.139966858924108,30,0,-4.12195369793803,46,1.6466011893258088,37,6,0.5867885524751016,2.8231414274771187,3.985108822650363,8,26,4,23,25,3,8,25,33,5,1,47,3.5712298327619703,2.2876793855937345,37,12,7,2.616992800246516,-0.0094934589682496,7,8
