y_min,x_max,y_rms,rv_max,12,10,z_rms,y_signal_changes,35,32,21,z_max,24,16,3,x_rms,2,29,22,7,rv_signal_changes,27,34,20,rv_rms,9,4,8,36,19,z_signal_changes,0
-7.213982328138029,8.623617006575891,3.8512595354759696,13.540392681919942,24,3,9.091975341968093,37,17,30,17,10.25372370085225,44,14,16,9.851033884108222,12,8,17,38,0,15,31,11,22.79426876155229,7,18,18,15,7,26,7
-7.213982328138029,8.623617006575891,3.560074984466524,13.318437221562638,15,2,9.143613679652828,33,25,31,23,10.18572456355225,41,19,15,9.611330011295804,16,8,13,35,0,18,26,10,22.31501867541516,8,17,20,23,8,30,5
-5.205833375238029,8.284507237175891,3.009233625567889,12.61728434978383,40,6,8.206291035727249,34,22,37,18,10.90369613535225,51,17,15,9.13181360420026,16,7,9,31,0,11,37,16,20.3473382654954,7,16,21,22,7,32,4
-5.678703841738029,9.906123723775892,3.295101586698768,12.51978484176082,54,5,7.964039891033692,38,33,33,19,10.90369613535225,50,17,16,8.75767698586124,18,7,13,28,0,8,32,15,20.016818463593697,4,29,4,16,1,30,11
-5.678703841738029,9.906123723775892,3.280720465780523,12.292550711581342,52,2,7.937876764199068,35,33,37,19,10.29096974905225,49,16,14,8.72546000860656,23,8,16,29,0,8,34,16,19.944057238586154,5,22,6,13,1,33,8
-4.032000225438029,10.153035100275892,2.9631566676195287,12.292550711581342,32,11,7.99843243926253,36,21,33,15,10.29096974905225,49,13,13,9.335045838976344,22,7,12,21,0,5,30,17,20.29663494585842,3,24,8,21,5,31,7
-4.032000225438029,10.153035100275892,3.1551988425193884,13.148292353016464,62,22,8.262046503805248,38,23,34,19,10.725693771152253,51,6,15,10.022514663717912,14,5,9,32,0,6,23,16,21.439760010042537,3,26,8,21,2,31,6
-6.24448498473803,8.59782460047589,4.085868428319096,13.148292353016464,49,3,9.66213853989582,37,26,31,22,10.725693771152253,49,13,19,9.417558021348034,11,9,10,32,0,14,25,16,23.16556498956295,8,20,23,22,2,33,7
-6.24448498473803,8.59782460047589,4.090044485767216,12.522964675914748,39,4,9.014387170384532,34,39,32,17,10.62306293515225,42,10,11,8.691466377478179,20,9,15,25,0,13,26,19,21.795898033629925,6,19,18,17,4,30,8
-6.222804205938029,8.94165446167589,3.057178781327402,12.154708204920937,30,1,7.671491394769626,36,34,34,14,10.346739513952253,45,19,11,9.717860488569547,19,5,16,31,0,6,24,15,20.446530664666547,4,20,18,14,5,28,9
-4.121264589538029,8.94165446167589,2.641298837780945,12.031544209238069,42,10,8.729895177918154,37,27,30,18,10.11822851815225,44,12,12,9.502948051055895,19,6,13,33,0,9,20,17,20.874142066755,6,20,14,16,4,26,9
-4.427783391538029,9.932925286375893,2.998598386801599,12.231053240508745,47,10,8.818635621914229,35,34,31,18,10.771568828552253,44,12,10,9.215115873550346,23,5,17,32,0,9,26,18,21.032349882266185,5,34,3,18,5,30,10
-4.427783391538029,9.932925286375893,2.7224405811838235,12.231053240508745,44,8,7.653941837898924,37,24,36,16,10.771568828552253,45,10,14,9.901034616626124,20,4,14,30,0,4,26,20,20.27741703570888,3,26,5,21,3,31,12
