window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
57,0.006156769068000002,-0.001458271127499998,0.018176200211499984,0.9170231340096205,0.8323492960604271,1.4160235726432346,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,1.6619469134336784,2450.0,1300.0,3475.0,3,5,2,17,24,42,63,34,4,6,2,6,8,22,34,53,50,16,6,3,2,9,17,18,29,59,31,24,5,6,10
58,-0.007659414697500008,-0.003244681783999977,-4.30220860000104e-05,0.7904203220336744,0.8295817337693707,1.2537851972658234,1.4988010832439614e-17,1.4988010832439614e-17,1.4988010832439614e-17,1.4935661179406425,3100.0,2700.0,1800.0,2,4,9,15,31,53,55,26,2,3,5,10,13,48,66,42,6,4,4,2,6,8,9,29,43,47,26,22,5,5,10
59,-0.018887328729000022,0.0076368837615000285,-0.019497706791000005,0.7888938635596913,0.846270339249081,1.1436777866791725,2.4980018054066023e-17,2.4980018054066023e-17,2.4980018054066023e-17,1.4576708745921638,2000.0,3250.0,4300.0,2,4,9,21,30,52,46,25,10,1,6,8,12,40,69,41,18,3,1,2,4,11,20,28,44,39,27,18,7,2,10
60,0.007934380875999993,-0.0010698500680000067,0.020207147826000024,0.8429960284916423,0.7961031335954495,1.3825264880684753,1.1102230246251566e-18,1.1102230246251566e-18,1.1102230246251566e-18,1.6192369457348712,1200.0,2325.0,1875.0,3,4,13,24,40,62,35,13,3,3,3,3,5,30,50,45,31,19,9,5,2,2,15,21,34,63,20,28,10,5,10
61,0.023418032790000005,0.005956510038500002,0.032665201405000024,0.8333842440394056,0.7656214887445358,1.47398812872511,1.27675647831893e-17,1.27675647831893e-17,1.27675647831893e-17,1.6532879994794347,1200.0,3725.0,4350.0,6,12,14,27,43,53,34,6,2,3,2,6,27,43,50,31,24,4,7,6,2,5,16,16,31,59,27,28,8,8,10
62,-0.003890707547000016,0.026991048322000003,0.013609650694499952,0.8302452474072847,0.7951444016382174,1.3959246405167487,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,1.5969696630635781,25.0,4825.0,1875.0,2,4,2,11,10,37,38,56,35,5,8,7,15,39,49,41,16,13,10,2,7,16,12,21,52,37,35,11,4,5,10
63,-0.008656414603499989,-0.004801542926999994,-0.005146444386500009,0.7883317727319581,0.7752607187393633,1.2810535711444697,1.915134717478395e-17,1.915134717478395e-17,1.915134717478395e-17,1.4806052687215105,3100.0,1700.0,4550.0,1,6,2,5,5,25,41,51,58,6,2,4,6,13,26,46,46,29,16,12,4,13,17,26,47,45,30,11,4,3,10
64,-0.005164809356000008,-0.026402786260499998,-0.017974103217999974,0.7664317003582568,0.7335255365694194,1.1648389524394631,1.2212453270876722e-17,1.2212453270876722e-17,1.2212453270876722e-17,1.3724442359564042,25.0,625.0,3825.0,6,3,12,18,48,60,45,5,2,1,2,1,9,28,60,54,26,14,4,2,5,14,19,32,51,38,24,9,5,3,10
65,-0.004253563508000004,-0.0013493993524999975,-0.008877870924999965,0.806880141315954,0.7898715690792055,1.295929140567624,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,1.4858702192124407,25.0,2625.0,2525.0,4,2,11,24,40,56,46,14,2,1,6,1,10,33,45,69,17,11,4,4,4,11,16,20,44,49,37,9,4,6,10
66,0.019268077267999995,0.008136426702000009,-0.0033054732820000004,0.7930988674379084,0.7775311623737171,1.3152853240851394,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18,1.5115262769866715,975.0,4175.0,4425.0,4,4,2,16,19,36,57,40,18,4,7,4,7,8,44,59,43,16,9,3,4,15,15,17,37,56,36,11,5,4,10
