9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
15,26,19,10,4475.0,4.19326494322006,30,5,42,33,2.220446049250313e-17,20,19,32,8,3650.0,67,44,2,2.220446049250313e-17,2.9027728581989938
11,32,17,11,25.0,3.966829410868357,26,2,26,40,1.1102230246251566e-17,18,28,31,7,4725.0,70,43,6,1.1102230246251566e-17,2.7028742835833555
5,23,16,16,25.0,3.870608075295652,32,2,31,36,4.1078251911130785e-17,21,16,38,4,1750.0,67,41,7,4.1078251911130785e-17,2.7025571046120818
15,13,14,16,2400.0,4.342165953311028,19,6,18,42,1.1546319456101628e-16,13,9,44,9,4600.0,70,39,5,1.1546319456101628e-16,3.210951538879474
11,29,21,12,750.0,4.773781638975924,24,7,28,30,8.104628079763643e-17,18,21,37,10,1150.0,72,48,3,8.104628079763643e-17,3.5281070493603086
11,26,19,13,750.0,4.65269481570854,22,6,33,31,4.669875597329565e-17,14,25,34,15,4725.0,68,47,6,4.669875597329565e-17,3.4056405648139787
14,19,18,12,400.0,4.4131725271886815,31,5,57,21,8.881784197001254e-18,13,28,33,13,2575.0,61,56,6,8.881784197001254e-18,3.105592996651129
10,26,21,9,25.0,4.038674143719068,30,7,42,28,1.8873791418627666e-17,11,18,36,7,2525.0,69,69,7,1.8873791418627666e-17,3.015762758588812
4,22,17,13,25.0,3.556837439938559,35,4,41,29,2.2482016248659418e-17,20,16,33,7,2600.0,74,42,9,2.2482016248659418e-17,2.719622700222548
6,14,10,11,350.0,2.9213698498983467,35,6,42,31,3.885780586188048e-17,19,16,33,7,2875.0,85,47,9,3.885780586188048e-17,1.8185003028478388
1,40,3,5,25.0,2.370477609354555,49,3,56,11,2.4424906541753444e-17,7,16,27,4,4050.0,18,64,60,2.4424906541753444e-17,1.4523664727572048
3,64,3,5,775.0,2.132027532831705,16,2,57,17,1.268082860939046e-17,6,57,3,3,600.0,21,60,64,1.268082860939046e-17,1.5738913556161125
2,33,0,4,25.0,1.5367633504131388,5,2,64,15,5.620504062164855e-18,11,102,2,4,4000.0,28,2,69,5.620504062164855e-18,1.3044277360743213
14,37,11,17,2575.0,1.1222901484851182,50,4,53,42,1.3877787807814457e-17,25,28,25,8,4825.0,51,35,17,1.3877787807814457e-17,1.0356615203458166
2,4,14,40,25.0,1.7812684241726922,40,3,18,61,1.4432899320127036e-17,10,2,40,5,550.0,50,7,3,1.4432899320127036e-17,1.4811619411706698
