6,23,9,25,z_tm_peaks,y_mean,x_tm_peaks,14,12,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,0,3,x_mean,18,17,20,16
36,35,6,34,2425.0,0.0643435393334999,25.0,21,65,1.7053720403217894,2.483357554788123,2.775557561562892e-18,2.775557561562892e-18,2.775557561562892e-18,7,22,0.0160386858609999,7,8,16,9
43,34,4,28,4875.0,0.0801687405374999,25.0,40,40,1.6826388425585403,2.6208739011408237,8.881784197001254e-18,8.881784197001254e-18,8.881784197001254e-18,8,20,0.050590897875,11,10,15,8
37,45,13,17,4850.0,0.0227863527824999,2825.0,50,28,1.415796404491093,2.570450568465886,3.663735981263017e-17,3.663735981263017e-17,3.663735981263017e-17,5,17,0.0184020274745,7,8,19,10
42,51,12,27,650.0,0.000263159778,3725.0,36,52,1.3350049616660489,2.533586456450366,5.3290705182007506e-17,5.3290705182007506e-17,5.3290705182007506e-17,2,8,0.0001392260654999,10,9,14,9
57,44,13,33,2525.0,-0.0098503333914999,1200.0,36,38,1.3273390594342525,2.3546011829827944,9.992007221626408e-18,9.992007221626408e-18,9.992007221626408e-18,2,5,-0.0255833634235,6,11,11,16
31,41,2,35,1250.0,-0.004434324922,25.0,27,68,1.5661208869527283,2.255867233441405,2.8310687127941486e-17,2.8310687127941486e-17,2.8310687127941486e-17,1,18,-0.0396622306209999,0,1,5,3
53,52,2,12,3550.0,0.0216567249584999,25.0,20,69,1.8273821072219676,2.4691056550971733,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,4,26,0.0451086030105,0,4,8,4
29,64,17,12,4475.0,0.0275963136884999,2175.0,6,67,1.748841268031682,2.473680859027932,2.10248485288389e-17,2.10248485288389e-17,2.10248485288389e-17,4,12,0.0621308714635,2,3,11,6
43,62,11,12,1250.0,0.0003534136005,825.0,2,67,1.5908531660611955,2.4240745003278,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,2,15,-0.010297536782,3,2,18,4
37,59,12,13,3100.0,-0.008044870626,3225.0,13,76,1.577378453550998,2.485801008799687,4.9404924595819467e-17,4.9404924595819467e-17,4.9404924595819467e-17,7,17,-0.06503026584,3,4,22,5
28,63,22,13,2325.0,-0.017842182983,725.0,7,76,1.4873952333878786,2.4966797968011,9.048317650695024e-17,9.048317650695024e-17,9.048317650695024e-17,2,6,-0.0149173618754999,3,3,21,2
27,58,23,12,2975.0,-0.0397439761664999,25.0,2,48,1.5070925436089524,2.45001309903101,5.662137425588297e-17,5.662137425588297e-17,5.662137425588297e-17,3,8,0.0405587547179999,3,2,16,2
