25,mean_res_accel,24,3,17,9,10,23,22,19,5,x_std,4,y_std,z_abs_diff,z_mean,y_abs_diff,21,y_tm_peaks,12,7
45,3.2909805711456057,38,16,61,15,4,18,11,15,41,1.64301465093434,31,1.410977431020603,2.331468351712829e-17,0.0863259481535,2.331468351712829e-17,11,4325.0,3,18
30,3.154864777148445,58,21,55,2,4,40,14,24,38,1.762198444338298,32,1.2522207764361897,5.551115123125783e-17,-0.0557880945945,5.551115123125783e-17,17,425.0,1,35
32,3.265943543091032,56,38,61,2,2,38,21,9,30,1.9187140672745184,41,1.3179362399285786,3.885780586188048e-17,0.0304727772135,3.885780586188048e-17,15,4150.0,2,23
34,3.284799738205786,58,41,64,2,2,30,20,9,35,1.7594426762254964,30,1.3918269476026572,1.5543122344752193e-17,-0.046633006303,1.5543122344752193e-17,14,3800.0,2,14
31,3.0826639020133952,62,15,49,9,2,22,12,43,41,1.364524930444069,28,1.3279044061936298,4.0245584642661923e-17,-0.0174058014404999,4.0245584642661923e-17,14,3925.0,1,25
40,3.1169471762250165,58,13,57,6,2,20,10,8,44,1.3270595701957375,28,1.393157622867746,1.0269562977782698e-17,0.023713620465,1.0269562977782698e-17,18,950.0,3,25
50,3.224384157293023,48,16,66,6,4,21,9,13,39,1.4373759479760777,24,1.4537597274237315,1.9984014443252817e-17,0.0543116251785,1.9984014443252817e-17,16,3300.0,2,22
59,3.183509942536205,34,14,72,4,3,20,12,9,43,1.392050055551332,28,1.3978445874307328,2.1094237467877975e-17,-0.0273125256694999,2.1094237467877975e-17,15,4925.0,2,25
55,3.231721732164776,37,14,67,7,2,25,10,12,48,1.3970500136760244,11,1.327899967234757,5.551115123125784e-19,-0.0152244306085,5.551115123125784e-19,13,500.0,2,32
49,3.3217820229220765,45,15,69,12,2,27,13,21,48,1.4674188711625633,10,1.4751545839183484,4.884981308350689e-17,0.0398765708075,4.884981308350689e-17,10,4975.0,4,25
47,3.202333788117715,51,18,82,13,5,30,12,11,38,1.4361214916722571,20,1.5921851586464109,8.881784197001254e-18,-0.0490136137064999,8.881784197001254e-18,9,4550.0,2,29
55,3.082819701961891,43,19,80,6,4,20,9,8,38,1.3965464248038342,27,1.4392464608049471,9.43689570931383e-17,0.0647908540824999,9.43689570931383e-17,15,3350.0,2,30
47,3.0819058241387456,47,14,70,5,3,24,11,19,50,1.3846192856416282,24,1.3346574004189338,1.6653345369377347e-17,-0.0807668815364999,1.6653345369377347e-17,20,3950.0,1,28
27,2.929243419517562,67,14,76,7,2,33,17,15,50,1.2476438572721438,21,1.468314992658985,5.828670879282072e-17,-0.0646423593125,5.828670879282072e-17,17,25.0,3,23
22,2.6210339669315594,77,15,71,12,2,36,21,14,40,1.1503348832947768,28,1.3799165956997628,9.159339953157542e-18,0.0858598211905001,9.159339953157542e-18,11,2700.0,0,31
34,2.7895745587651164,64,31,46,2,3,28,15,12,39,1.293507958259025,51,1.212202813511013,3.3306690738754695e-18,-0.0160551000619999,3.3306690738754695e-18,11,2875.0,4,10
45,3.0398341175261128,47,33,46,3,3,27,11,8,36,1.4203749357155946,48,1.1606214630496108,5.939693181744588e-17,-0.0251456107785,5.939693181744588e-17,14,4375.0,5,10
53,3.1184383178331774,43,19,54,3,3,21,9,4,44,1.5312181653047452,47,1.2355167283338755,2.4424906541753444e-17,0.0827534601339999,2.4424906541753444e-17,17,150.0,3,21
54,3.2816491349810017,40,21,62,5,3,19,11,6,41,1.5800613021284933,44,1.276954255338728,3.4416913763379846e-17,-0.0734327520375,3.4416913763379846e-17,20,2375.0,5,25
54,3.2701394126664542,38,15,45,6,4,22,12,10,39,1.518098935928609,44,1.1452986416764064,1.6653345369377347e-17,-0.0120783938175,1.6653345369377347e-17,21,3500.0,9,29
37,3.262857020366817,58,12,43,4,4,28,16,11,35,1.5675510815599074,39,1.133280480469523,1.4432899320127036e-17,0.0683491423554998,1.4432899320127036e-17,16,3175.0,4,32
44,3.3408710570274094,60,16,52,4,2,23,12,8,35,1.6520476822125942,32,1.1769292275486694,4.6629367034256567e-17,0.0150500507924999,4.6629367034256567e-17,15,2350.0,2,29
54,3.358355519858409,42,17,46,4,3,19,11,14,38,1.5906036539610986,40,1.2247290109527191,1.9984014443252817e-17,-0.0417991640614999,1.9984014443252817e-17,14,4675.0,3,32
53,3.126965242861631,43,38,38,2,3,26,19,2,32,1.536486106501112,50,1.1696124512035462,1.4432899320127036e-17,-0.0100911044084999,1.4432899320127036e-17,14,2425.0,8,8
54,3.1802882535514447,46,36,67,2,2,25,20,4,38,1.690179397690412,40,1.3231734416638152,4.440892098500626e-18,0.0673760847045,4.440892098500626e-18,13,1375.0,2,15
43,3.11524829475216,62,16,62,11,2,21,12,31,26,1.66645935861029,29,1.3668025720170491,2.8171909249863345e-17,-0.05664646735,2.8171909249863345e-17,18,4925.0,3,46
57,2.918988376464944,35,45,40,1,1,19,8,13,54,1.5452988132328258,45,1.2155954933579736,4.440892098500626e-18,0.0598802995314999,4.440892098500626e-18,17,4700.0,4,8
54,3.122896100958564,41,62,37,3,1,18,12,13,32,1.771205806562712,43,1.1378523250268109,1.1379786002407854e-17,-0.066153857033,1.1379786002407854e-17,24,2350.0,6,6
42,3.3708274121181745,37,55,54,2,3,19,13,3,34,1.8443617634984335,42,1.375762424066983,2.1926904736346846e-17,-0.0325867063804999,2.1926904736346846e-17,22,1175.0,3,2
49,3.4435536123067987,31,26,71,2,3,27,10,7,47,1.695599221301961,43,1.6372539472112997,7.105427357601002e-17,0.0524638305,7.105427357601002e-17,17,3175.0,2,12
48,3.365659329692245,50,14,63,4,3,28,12,20,35,1.692162857439722,13,1.6009911889134474,1.4710455076283325e-17,0.027047205724,1.4710455076283325e-17,11,4650.0,2,49
40,3.310135505132856,59,16,48,3,2,25,15,2,29,1.8694773115025651,45,1.5317721050571782,2.220446049250313e-17,0.041390496894,2.220446049250313e-17,15,1725.0,5,22
42,3.535349367388936,49,58,12,2,10,28,15,1,43,2.09442208648566,26,1.3901310021009166,6.661338147750939e-18,-0.0330085038119999,6.661338147750939e-18,16,2800.0,16,8
43,3.78279338912468,39,52,53,2,2,27,12,19,35,2.056702045068999,42,1.516970826510133,8.881784197001254e-18,-0.0443152220255,8.881784197001254e-18,16,4275.0,0,4
37,3.560625679293916,43,41,50,3,2,22,11,27,29,1.8786078418993888,41,1.6045169136824389,2.2759572004815708e-17,0.02736112202,2.2759572004815708e-17,12,4525.0,2,9
40,3.462445842198981,40,41,47,3,3,17,11,14,36,1.7865059264631773,27,1.45090944407425,3.4000580129145415e-17,-0.0359724300919999,3.4000580129145415e-17,20,2400.0,3,21
46,3.590454254664938,39,38,44,6,2,19,14,16,36,1.7336294460532198,24,1.5262775283291146,4.218847493575595e-17,0.0036209553904999,4.218847493575595e-17,26,2550.0,7,24
50,3.629551344550938,37,15,45,6,4,22,15,23,34,1.8855108420300104,35,1.641239724121949,8.326672684688674e-17,0.0378920989869999,8.326672684688674e-17,21,2025.0,2,30
42,3.33666371431698,45,28,44,2,2,25,15,31,43,2.004731304234505,47,1.457567871924792,1.8318679906315084e-17,0.0097699054874999,1.8318679906315084e-17,12,50.0,0,15
37,3.3426841945359254,43,44,43,2,1,19,25,18,32,2.08833882837557,33,1.2131639689053262,3.9968028886505634e-17,-0.0879715009094999,3.9968028886505634e-17,9,2375.0,2,5
44,3.769370612977817,50,34,48,1,1,22,28,34,42,1.96792369725618,39,1.4947087796155345,2.942091015256665e-17,-0.063393801043,2.942091015256665e-17,20,3750.0,5,1
44,3.886992728436262,48,8,49,8,1,32,21,24,30,1.8582571518876083,26,1.6285918327786812,2.220446049250313e-17,0.1330149070939999,2.220446049250313e-17,13,1925.0,7,28
45,4.008524884895842,36,10,61,12,1,37,23,24,28,2.005012376573436,26,1.5299112072677687,4.73232564246473e-17,-0.0926471731024999,4.73232564246473e-17,11,4575.0,5,33
42,3.9304221582901095,34,15,64,12,3,25,15,5,33,1.997371104488744,23,1.764143439167,6.661338147750939e-17,-0.0585720326735,6.661338147750939e-17,14,850.0,6,31
46,3.5362031478237133,44,15,57,9,2,24,13,6,42,1.688001147538599,30,1.8563474405790488,6.661338147750939e-18,0.0768313635684999,6.661338147750939e-18,14,4300.0,7,20
40,3.261118756792992,57,27,55,1,3,21,16,6,50,1.4885024828377995,42,1.5831987840038857,4.218847493575595e-17,0.1009731816385,4.218847493575595e-17,14,3300.0,4,13
48,3.3928928982064543,44,32,50,4,5,18,18,15,32,1.771375007624934,38,1.3904550790095085,2.8727020762175923e-17,0.0095766927554999,2.8727020762175923e-17,20,2675.0,5,10
42,3.558979532993072,49,30,38,3,6,19,18,18,32,1.7558734939845753,41,1.5454401196601024,4.5519144009631415e-17,-0.0797235329725,4.5519144009631415e-17,18,1925.0,5,12
44,3.4010437075665774,49,22,39,6,4,25,14,17,49,1.4995163676392584,27,1.5213893365570803,3.1086244689504386e-17,0.0573811456339999,3.1086244689504386e-17,14,4125.0,3,24
47,3.358473494707903,43,11,58,13,4,22,14,25,51,1.4362367646957095,18,1.3335308252976088,1.9984014443252817e-17,-0.0619529272269999,1.9984014443252817e-17,15,1575.0,3,31
48,3.4494736350402206,42,17,79,13,4,21,14,18,42,1.5003674765398127,15,1.4843972003317865,4.1078251911130785e-17,-0.0157598477375,4.1078251911130785e-17,16,1575.0,3,31
46,3.4377439087636112,46,16,66,13,4,25,11,16,43,1.5543833785543766,18,1.5339661254821109,2.331468351712829e-17,0.04847600385,2.331468351712829e-17,17,4275.0,5,31
