5,x_mean,19,3,20,x_abs_diff,14,25,x_std,y_mean,8,z_abs_diff,21,11,27,1,15,26,23,mean_res_accel,6
28,-0.0345510821244999,4,23,15,5.530298441414061e-17,20,28,1.6961699319065684,0.0505331138529999,16,5.530298441414061e-17,30,35,1,9,6,4,60,2.970578983637997,39
25,-0.0123516262715,3,20,7,4.9404924595819467e-17,23,35,1.6882396827197268,-0.04327568061,25,4.9404924595819467e-17,32,28,1,10,6,4,60,2.826271535369641,31
38,0.0431413704399999,5,23,3,1.021405182655144e-16,60,34,1.7156455884131414,-0.016673305822,2,1.021405182655144e-16,5,2,6,9,64,32,20,2.8960378665472444,41
46,-0.050338310622,4,29,3,1.1102230246251563e-16,56,41,1.6041725705611374,0.01319569464,2,1.1102230246251563e-16,3,2,8,9,63,22,35,2.6712330227023475,42
47,-0.0306327953125,2,22,4,5.88418203051333e-17,25,43,1.2504174455675885,0.0004566283875,0,5.88418203051333e-17,19,20,3,15,12,10,38,2.3840068170684843,37
45,0.0224705460659999,4,22,4,1.1102230246251568e-18,26,30,1.161204685105688,-0.0449223846924999,2,1.1102230246251568e-18,35,21,4,14,13,5,48,2.576219190164176,36
33,-0.0001581726844999,4,28,11,5.10702591327572e-17,48,29,1.315829188758687,-0.036454253373,3,5.10702591327572e-17,30,13,7,13,30,7,46,2.8796063624515047,44
31,0.0322413961089999,3,24,15,4.329869796038111e-17,53,33,1.375443004628635,0.0470316180839999,6,4.329869796038111e-17,26,6,8,8,23,8,46,2.9339852893131204,34
41,-0.0070901023395,4,22,14,7.105427357601002e-17,56,25,1.3308122865015002,0.0367503498975,6,7.105427357601002e-17,33,10,2,8,20,2,53,2.760446263332862,29
21,-0.014903115036,2,10,10,2.1094237467877975e-17,69,20,1.1744815082199564,-0.0125435721565,31,2.1094237467877975e-17,32,9,1,10,23,5,61,2.582948974846553,46
15,0.0042623585,2,9,8,2.220446049250313e-18,54,37,1.148179826481823,-0.0047922029784999,48,2.220446049250313e-18,32,16,2,7,15,4,55,2.597916749851976,41
31,-0.0187031968829999,3,8,24,1.8873791418627666e-17,31,17,1.2364757588791366,0.0019056962349999,34,1.8873791418627666e-17,25,17,3,9,18,2,42,2.7655214572843447,47
37,0.0129774870969999,2,8,23,8.257283745649601e-18,23,8,1.2433299861575025,-0.0231825406729999,30,8.257283745649601e-18,31,23,6,9,14,1,45,2.804843349269829,39
41,0.0319328981594999,1,16,2,2.6645352591003762e-17,14,49,1.2242528430320971,0.033871231344,14,2.6645352591003762e-17,9,27,3,13,13,9,19,2.8109628046328665,31
40,-0.0060953899674999,1,17,3,3.3306690738754695e-17,16,44,1.3125802629566368,0.027134752193,17,3.3306690738754695e-17,10,25,2,14,16,11,22,2.7713511772747834,40
24,-0.0622777474014999,2,15,6,4.773959005888173e-17,21,47,1.4488857650926923,-0.0406849171739999,24,4.773959005888173e-17,24,22,3,4,21,14,36,2.8647163101846043,44
21,0.0122941504314999,2,13,3,4.427014310692812e-17,19,49,1.4100465292915991,-0.013068420477,25,4.427014310692812e-17,6,23,6,3,20,19,18,3.0256839003999225,46
31,0.0206279769969999,9,13,4,2.3869795029440865e-17,63,47,1.3661475271477133,-0.017703339019,26,2.3869795029440865e-17,5,17,8,12,27,17,18,2.939717923806916,31
27,0.0196520608584999,3,18,5,4.1078251911130785e-17,48,51,1.580112262532466,0.0423639163904999,25,4.1078251911130785e-17,23,18,7,9,23,12,27,2.9462466647629664,38
40,-0.0038795909579999,3,22,8,3.4972025275692425e-17,30,43,1.7234766949719609,0.0199286396435,7,3.4972025275692425e-17,31,18,5,10,20,7,46,2.942244715750793,34
33,0.0062078664704999,2,26,6,6.383782391594651e-17,29,50,1.6870826191555957,-0.0380746501869999,9,6.383782391594651e-17,18,23,6,6,10,9,31,2.851130202121275,35
35,-0.0308339024265,3,25,6,1.7763568394002505e-17,23,55,1.7389658969047157,-0.012641666531,4,1.7763568394002505e-17,23,29,8,10,11,9,28,2.935705601298836,30
33,-0.0355442079269999,4,31,10,7.771561172376094e-17,20,45,1.819452925532982,-0.0067014889289999,9,7.771561172376094e-17,38,24,2,9,9,4,38,3.0966758347098997,33
43,0.0634012171865,5,36,12,0.0,22,20,1.886740145996552,0.00266464962,0,0.0,40,23,3,8,10,2,43,3.226542533685252,36
