y_tm_peaks,y_std,z_abs_diff,22,9,x_abs_diff,18,1,y_abs_diff,4,24,7,z_std,mean_res_accel,x_tm_peaks,z_mean,19,23,6,0,10
3175.0,2.4183115675246496,4.996003610813205e-17,11,9,4.996003610813205e-17,10,25,4.996003610813205e-17,21,56,20,4.005029718831546,5.968599623324224,950.0,0.0745888822045,5,15,22,15,3
4150.0,2.4355899229796814,7.771561172376094e-17,9,8,7.771561172376094e-17,12,23,7.771561172376094e-17,22,60,24,4.052118007483354,5.757379466481771,1925.0,-0.1354378184154999,7,15,21,9,8
950.0,2.493651620759361,1.088712453523044e-16,10,3,1.088712453523044e-16,18,21,1.088712453523044e-16,26,74,25,3.949263445888319,5.6761783834003925,1900.0,0.004604753867,6,12,23,13,9
4800.0,2.380187836488948,1.1879386363489176e-16,17,5,1.1879386363489176e-16,21,23,1.1879386363489176e-16,22,80,29,4.123061909245809,5.887405552971881,4700.0,0.0623811606089999,6,15,21,17,8
325.0,2.396130303104667,9.769962616701378e-17,17,6,9.769962616701378e-17,19,21,9.769962616701378e-17,21,80,22,4.004394537437251,5.784165630751216,25.0,0.0233514854354999,7,14,24,18,8
1025.0,2.3848299760370995,2.731148640577885e-16,15,8,2.731148640577885e-16,15,19,2.731148640577885e-16,24,76,21,3.88763311693299,5.592738104398364,25.0,0.0203378077609999,6,32,25,16,6
3750.0,2.417197375506458,1.5765166949677222e-16,9,4,1.5765166949677222e-16,13,21,1.5765166949677222e-16,25,78,19,4.061236249254761,5.730337734550193,1975.0,-0.1681669660694999,9,31,23,16,3
925.0,2.5035263589871803,5.773159728050814e-17,7,4,5.773159728050814e-17,15,23,5.773159728050814e-17,25,79,18,4.036515244206166,5.850536157553131,950.0,0.024568643174,9,16,25,22,2
25.0,2.421070442422714,1.0463852007092099e-16,10,10,1.0463852007092099e-16,14,22,1.0463852007092099e-16,26,75,21,4.227335527404597,5.970062868191062,950.0,0.1284805865764999,5,16,28,21,8
4075.0,2.4348908943427534,6.439293542825906e-17,8,7,6.439293542825906e-17,18,22,6.439293542825906e-17,28,81,24,4.259413779992845,6.055058205853393,950.0,-0.150418622798,5,18,21,21,9
4250.0,2.8249666974878966,1.4654943925052067e-16,8,5,1.4654943925052067e-16,1,25,1.4654943925052067e-16,21,75,28,4.348306321162068,6.388810950339112,925.0,0.0389843107609999,2,28,29,25,5
4850.0,2.744805873918573,9.325873406851316e-17,12,4,9.325873406851316e-17,1,27,9.325873406851316e-17,17,71,20,4.382426136172082,6.410005481320788,3700.0,0.1265157989939997,2,24,27,26,3
2750.0,2.461172094378941,1.27675647831893e-16,12,2,1.27675647831893e-16,21,28,1.27675647831893e-16,20,70,23,4.299624971224506,6.188674859097525,925.0,-0.0551523850189999,12,12,22,23,16
2400.0,2.602729038372075,1.4210854715202004e-16,7,13,1.4210854715202004e-16,12,21,1.4210854715202004e-16,15,62,28,4.052166063235151,6.052740614638816,1850.0,0.0907492273835,4,21,19,9,5
4900.0,2.3922102576126085,1.9761969838327787e-16,13,14,1.9761969838327787e-16,9,11,1.9761969838327787e-16,20,38,36,4.340094466296886,6.198993454097214,925.0,0.0105052658644999,6,27,17,3,4
2800.0,2.3210675344705183,2.4424906541753444e-17,14,6,2.4424906541753444e-17,8,14,2.4424906541753444e-17,17,36,37,4.636859258578648,6.365037594396638,900.0,-0.1163163350735,6,26,28,2,6
3950.0,2.613509490901196,1.2434497875801754e-16,12,7,1.2434497875801754e-16,10,30,1.2434497875801754e-16,21,53,17,4.406618575085659,6.230002332691836,3975.0,-0.0550893413504999,7,24,33,15,10
25.0,2.583381305253274,2.2065682614424987e-16,4,4,2.2065682614424987e-16,16,26,2.2065682614424987e-16,23,50,19,4.306277803553988,6.102248318806718,25.0,0.0264579333209999,6,21,30,22,8
4800.0,2.4933184082460285,8.881784197001253e-17,9,4,8.881784197001253e-17,23,6,8.881784197001253e-17,15,60,38,4.612351070087514,6.465934839444519,25.0,0.1001997759729999,7,23,33,2,5
1775.0,2.412783295439283,2.3980817331903383e-16,15,8,2.3980817331903383e-16,22,6,2.3980817331903383e-16,19,51,30,4.807532043954042,6.63509657876811,1825.0,-0.0379057126229999,13,20,27,3,6
1175.0,2.4837967862798824,6.661338147750939e-17,7,4,6.661338147750939e-17,7,28,6.661338147750939e-17,22,38,26,4.226555094961764,6.178473303214953,925.0,0.0553717358519999,3,21,30,4,6
4000.0,2.4782927126346985,4.440892098500626e-17,9,3,4.440892098500626e-17,10,29,4.440892098500626e-17,24,47,17,4.123615082631389,6.02786346768324,925.0,0.0238433001924999,3,22,28,24,9
4625.0,2.436078176263808,1.2434497875801754e-16,12,8,1.2434497875801754e-16,9,28,1.2434497875801754e-16,15,44,18,4.272917323939953,5.9306647623709,925.0,-0.1135001280329999,6,15,40,22,5
250.0,2.508534558980489,4.884981308350689e-17,14,4,4.884981308350689e-17,11,23,4.884981308350689e-17,22,71,20,4.032729607396584,5.809900118911177,925.0,0.079182464012,4,22,33,12,5
250.0,2.424193671229844,1.376676550535194e-16,10,7,1.376676550535194e-16,19,14,1.376676550535194e-16,28,73,21,4.113611344025746,5.76203951510081,1875.0,0.015914233954,10,37,25,13,9
4350.0,2.839859750257454,6.217248937900877e-17,10,4,6.217248937900877e-17,5,17,6.217248937900877e-17,32,62,21,4.339347251729865,6.062823420802167,925.0,-0.0586643154699999,3,25,27,13,3
100.0,2.8887074672712987,5.773159728050814e-17,9,6,5.773159728050814e-17,5,26,5.773159728050814e-17,22,72,22,4.123642943833136,6.1224018753877685,925.0,0.1149637334505,3,19,26,12,5
4950.0,2.500481014736272,3.552713678800501e-17,10,7,3.552713678800501e-17,35,23,3.552713678800501e-17,23,80,24,4.087175451732205,5.916937983912168,3725.0,-0.008901714336,15,11,22,17,3
4650.0,2.455675026127532,6.161737786669618e-17,9,6,6.161737786669618e-17,34,17,6.161737786669618e-17,25,58,25,4.338817103470883,6.028061218874856,25.0,-0.0874766843944999,7,15,14,16,2
3100.0,2.503599184152969,1.021405182655144e-16,11,5,1.021405182655144e-16,24,18,1.021405182655144e-16,22,71,17,4.195700339173103,6.033463791064423,25.0,-0.010321540617,5,14,19,19,2
950.0,2.4172038374691054,1.6153745008296026e-16,11,4,1.6153745008296026e-16,25,20,1.6153745008296026e-16,25,85,20,4.069526477879787,5.855371679055374,925.0,-0.005716217338,4,12,23,13,1
1550.0,2.2171376746095257,3.1086244689504386e-17,10,3,3.1086244689504386e-17,35,16,3.1086244689504386e-17,30,81,29,4.335472972347987,5.891134671428976,925.0,-0.0182732178709999,14,15,18,16,5
300.0,2.203063918837466,7.771561172376094e-17,7,1,7.771561172376094e-17,31,15,7.771561172376094e-17,24,69,24,4.400933405094976,6.054095849294876,3675.0,-0.1272535584104999,10,15,16,12,3
3050.0,2.3933386145675546,1.1546319456101628e-16,10,4,1.1546319456101628e-16,22,13,1.1546319456101628e-16,25,79,28,4.237158278593207,6.1454858761941145,25.0,0.1279178896295,10,21,25,19,4
4200.0,2.5966268906478764,8.881784197001253e-17,10,5,8.881784197001253e-17,34,19,8.881784197001253e-17,30,84,13,4.403383958560643,6.2620076463680086,925.0,0.1219588009169999,8,20,31,13,4
4625.0,2.531253196411148,1.3322676295501878e-17,10,3,1.3322676295501878e-17,29,18,1.3322676295501878e-17,30,80,20,4.5205579292162446,6.256282021482707,925.0,-0.0997752246775,8,16,29,14,3
900.0,2.5504023553825714,3.9968028886505634e-17,7,2,3.9968028886505634e-17,16,22,3.9968028886505634e-17,21,77,23,4.2757746858149845,6.243829182010082,25.0,-0.03243946806,7,14,26,18,5
2100.0,2.7328095385373605,1.2656542480726783e-16,7,3,1.2656542480726783e-16,23,28,1.2656542480726783e-16,25,68,17,4.172278484115147,6.180558237496169,1850.0,0.018892088343,5,17,19,14,9
3825.0,2.434780738259664,1.0880185641326534e-16,8,3,1.0880185641326534e-16,16,24,1.0880185641326534e-16,24,50,17,4.540470212697636,6.208887468725549,925.0,-0.003192777411,5,23,24,21,5
275.0,2.161626628031661,3.9968028886505634e-17,11,6,3.9968028886505634e-17,5,36,3.9968028886505634e-17,14,48,28,4.64022072745295,6.341456322134435,25.0,-0.092562680328,6,20,41,5,11
925.0,2.36419112743791,1.1046719095020308e-16,11,5,1.1046719095020308e-16,10,36,1.1046719095020308e-16,18,52,32,4.345112996164062,6.168101061995122,25.0,0.0502202521685,4,18,34,3,21
4800.0,2.33792896808029,4.884981308350689e-17,11,5,4.884981308350689e-17,6,22,4.884981308350689e-17,20,51,25,4.427236954318666,6.110116060565202,3700.0,0.0667337043225,3,19,25,26,13
3100.0,2.3318129053790044,1.38222766565832e-16,10,4,1.38222766565832e-16,8,30,1.38222766565832e-16,12,57,29,4.402123060754176,6.079243777979374,2825.0,-0.1460722791074999,2,15,24,17,14
4025.0,2.5336718862403824,1.554312234475219e-16,12,6,1.554312234475219e-16,18,25,1.554312234475219e-16,17,68,27,4.061460671483611,5.886928488013555,25.0,0.0287031121875,6,17,30,8,6
