15,z_tm_peaks,25,9,0,18,10,23,4,1,11,21,y_abs_diff,z_abs_diff,x_abs_diff,3,17,y_tm_peaks,x_tm_peaks,19,27
8,1125.0,12,3,7,4,6,63,33,13,24,20,2.886579864025407e-17,2.886579864025407e-17,2.886579864025407e-17,39,2,3450.0,3425.0,1,4
22,4950.0,5,1,11,3,3,65,36,15,12,21,4.329869796038111e-17,4.329869796038111e-17,4.329869796038111e-17,47,4,1100.0,2300.0,1,5
5,1025.0,7,1,9,2,3,62,44,20,44,19,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,48,2,3400.0,1125.0,2,2
9,3325.0,20,4,7,3,7,43,36,9,47,33,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,27,2,3400.0,4175.0,5,3
8,1125.0,20,1,2,5,12,39,43,8,40,40,7.771561172376098e-18,7.771561172376098e-18,7.771561172376098e-18,31,3,1125.0,350.0,2,5
6,4500.0,8,3,3,4,16,51,35,11,46,25,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,31,4,3375.0,3025.0,4,4
4,3850.0,5,6,10,4,24,56,33,8,51,32,9.325873406851316e-17,9.325873406851316e-17,9.325873406851316e-17,20,4,1125.0,25.0,2,3
2,4100.0,3,7,6,4,27,58,36,8,48,29,8.881784197001254e-18,8.881784197001254e-18,8.881784197001254e-18,21,1,3475.0,25.0,3,2
3,600.0,20,2,2,3,10,51,47,5,36,26,1.1102230246251568e-18,1.1102230246251568e-18,1.1102230246251568e-18,56,2,2325.0,1175.0,2,4
4,3275.0,11,2,2,1,12,55,60,6,64,27,3.663735981263017e-17,3.663735981263017e-17,3.663735981263017e-17,57,3,2225.0,1175.0,2,4
3,3250.0,24,5,11,1,31,42,39,6,95,23,2.220446049250313e-17,2.220446049250313e-17,2.220446049250313e-17,18,4,1125.0,25.0,2,2
2,4425.0,21,8,4,2,36,62,28,7,83,16,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,9,5,1100.0,1125.0,2,2
4,2125.0,27,7,5,1,8,58,33,12,86,15,0.0,0.0,0.0,13,2,3750.0,25.0,6,4
3,4325.0,35,8,6,2,12,48,41,10,85,16,2.5396351688300457e-17,2.5396351688300457e-17,2.5396351688300457e-17,16,1,325.0,25.0,4,3
1,75.0,36,5,8,3,19,50,32,7,82,17,1.40165656858926e-17,1.40165656858926e-17,1.40165656858926e-17,14,6,2600.0,2650.0,4,4
1,500.0,36,4,9,5,26,50,26,9,87,13,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,11,5,25.0,1525.0,3,3
