window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
33,0.07131439262439165,0.0657227571204702,-0.09854485254174955,6.282774184855494,4.522649040033519,2.6140565384378323,4.553034432777518,2.926368624250565,-11.43960188952411,-5.955375074138029,-9.40349517184775,1.257851095123876,9.025142569875891,7.272135152561971,11.97382950395225,13.946997388922536,10.229720040955744,3.4188055334765504,10.369916817010072,24.01844239144238,37,34,32,0,4,12,15,17,18,34,41,31,21,7,1,10,31,45,48,26,13,8,9,9,15,19,16,26,48,42,15,9,3,7,17,35,25,27,26,30,18,13,4,5,21
34,0.06330980135239156,0.016600059606970176,-0.08238784125474961,6.408767529626861,4.665609089494848,2.799613228820178,4.511137067326308,2.982426905672724,-11.98585716822411,-7.00481665453803,-9.40349517184775,1.257851095123876,9.99328674467589,7.272135152561971,11.97382950395225,13.946997388922536,10.88595815346211,3.9190548964819465,10.178572698296014,24.98358574824009,34,37,29,0,6,10,19,11,23,32,47,36,13,3,3,4,15,50,53,29,14,8,14,10,17,19,14,23,49,44,18,9,1,6,17,32,33,19,25,30,18,15,6,5,21
35,0.07018094086789162,-0.0329844508965298,0.042771447059750375,6.354868640839894,4.465642013645975,2.8140558401163425,4.4120887633955395,2.636452809027613,-11.98585716822411,-7.00481665453803,-8.69054823104775,1.1849986966999642,9.99328674467589,6.727884682661971,12.27613006435225,13.127214000780015,9.973441979250593,3.959999122646922,9.73417832638239,23.667619428279895,34,33,27,0,3,11,16,19,22,39,37,38,13,2,2,5,19,38,50,33,16,12,17,8,17,22,16,30,46,43,11,3,6,6,10,20,36,27,26,39,18,13,6,5,21
36,0.04525093399189164,0.05487974216447013,0.07875012280425044,6.329732580727201,4.312253477449658,3.137345000679489,4.327522954839056,2.666770538155391,-10.70585125572411,-6.484605342038029,-7.71962032884775,0.401395693351752,7.707738309475892,8.22314126266197,12.27613006435225,12.959790810188682,9.298788850401907,4.922972719694315,9.366828253250317,23.588589823346535,32,36,29,0,7,11,8,18,21,31,29,36,28,11,5,14,33,46,37,18,16,19,6,6,24,17,18,45,45,26,11,0,8,6,5,13,26,35,28,41,22,14,9,7,21
37,-0.039987659028108274,-0.0466761896335299,-0.044651535575749544,6.263150696045643,4.482602637219547,2.9786976829469105,4.2250611591617515,2.7561246136674677,-11.320564112724108,-6.484605342038029,-8.11178634134775,0.401395693351752,7.2243234415758915,8.22314126266197,11.86625463175225,13.127372676085994,10.047662708041095,4.437409276535995,8.926567779143257,23.41163976372036,34,38,30,0,6,10,11,18,10,27,30,39,35,14,5,15,30,41,55,15,15,8,9,7,20,20,14,44,38,34,16,4,5,5,3,18,31,32,31,32,23,16,8,6,21
38,-0.025554909754608356,0.014160075751470184,0.007612073291250403,6.329245050145736,4.469930011866603,2.8792459413383362,4.3964841405151756,2.746083192389468,-11.320564112724108,-5.67649220703803,-9.09500167664775,0.7087836714791711,9.80689688837589,7.9114499376619705,11.77016610805225,13.127372676085994,9.990463682199168,4.145128849229286,9.664565370730626,23.800157902159075,39,35,29,0,9,10,14,17,17,48,38,31,14,2,10,18,37,42,39,15,13,8,15,3,14,20,20,25,45,38,21,6,6,5,5,22,31,30,33,25,26,12,12,4,21
39,0.00011646200439167308,0.056729923443470144,0.00584463164225037,5.965820580025334,4.228759408626943,2.8265177530155423,4.1707746657443545,2.7711382717252375,-10.319289410224108,-5.67649220703803,-9.09500167664775,0.7087836714791711,9.80689688837589,8.08195816766197,11.71841498855225,13.106172205700583,8.941203074807142,3.9962104461629644,8.697697736066981,21.635111257037096,40,38,33,0,8,13,16,14,29,49,34,27,8,2,8,16,34,54,37,13,13,9,14,2,12,18,20,23,58,36,18,4,7,4,11,24,34,30,28,27,22,10,11,3,21
40,-0.028460891580108397,-0.1057698117245299,-0.018554124717249616,5.776957740001293,4.0930116478855325,2.855152811166453,3.973255763615296,2.707490367322752,-10.59939723072411,-7.21481885133803,-7.8376630756477494,0.4160967190282683,7.493199224875892,9.93213922756197,11.71841498855225,13.106172205700583,8.37677718603809,4.081542414091973,7.8935528093231,20.351872409453158,40,43,32,0,9,5,16,11,17,33,38,35,30,6,1,5,41,63,49,12,12,11,4,2,19,20,15,44,41,35,14,3,5,4,8,24,33,35,26,37,14,11,9,3,21
41,0.01037259962539163,-0.014321228569529821,0.05339470149225039,6.079222070730703,4.205735474511801,3.005612152866164,4.244809181749735,2.7904377760110473,-11.29535172232411,-7.21481885133803,-7.748419458147749,0.4160967190282683,8.157476137375891,9.93213922756197,11.08821523735225,12.539042421713992,8.844159236194994,4.51695475552226,9.01062799180715,22.371741983524412,40,39,28,0,8,5,16,10,20,30,40,47,19,5,1,6,39,67,39,16,10,12,8,2,23,17,18,35,35,32,24,6,3,7,4,21,36,28,25,26,28,12,9,11,21
42,0.022913123837391646,0.048001370782970135,-0.010195303896249673,6.24201583549921,4.466209640110598,3.052603893556959,4.227934621315373,2.860248527476734,-11.423320442624108,-5.8486913516380294,-8.82372343534775,1.7728486975237596,8.52488782767589,8.07036519086197,11.14671169295225,13.078202642937741,9.973776780330413,4.6603473312780785,8.937767553169353,23.57189166477783,34,36,33,0,6,10,18,12,15,26,45,47,13,8,6,16,33,65,25,15,10,7,15,8,12,20,15,35,43,36,19,9,5,6,21,35,34,20,21,21,21,13,5,9,21
